448,524K: system (pid 1422)
    430,174K: com.android.systemui (pid 2055)
    317,478K: surfaceflinger (pid 902)
    228,428K: com.transsion.hilauncher (pid 2284 / activities)
    226,589K: android.hardware.graphics.composer@2.3-service (pid 852)
    124,808K: com.google.android.googlequicksearchbox:search (pid 3638)
    113,825K: camerahalserver (pid 1192)
    112,983K: com.google.android.gms.persistent (pid 2575)
    108,193K: com.android.chrome (pid 6644 / activities)
     81,219K: com.android.settings (pid 2497 / activities)
     77,710K: com.transsion.healthlife (pid 9171)
     77,139K: com.google.android.youtube (pid 13322)
     74,278K: com.google.android.inputmethod.latin (pid 6986)
     73,273K: com.sh.smart.caller (pid 4220 / activities)
     70,057K: com.transsion.smartpanel (pid 7834)
     67,901K: android.hardware.audio.service.mediatek (pid 845)
     61,472K: com.google.android.apps.tachyon (pid 3969)
     61,336K: com.android.chrome:privileged_process0 (pid 8379)
     61,132K: com.google.android.googlequicksearchbox:interactor (pid 3215)
     56,163K: com.android.vending (pid 3701)
     53,734K: com.google.android.gm (pid 6907)
     51,055K: com.smartlife.nebula (pid 9159)
     50,175K: com.google.android.apps.messaging:rcs (pid 3262)
     43,737K: com.google.android.apps.photos (pid 14575)
     43,190K: com.transsion.phonemaster (pid 7390)
     41,931K: com.android.phone (pid 2268)
     41,768K: com.transsion.multiwindow (pid 2344)
     41,038K: com.transsion.hilauncher:zeroscreen (pid 2552)
     37,977K: com.android.chrome:sandboxed_process0:org.chromium.content.app.SandboxedProcessService0:1 (pid 8733)
     37,344K: com.trassion.aegis (pid 9488)
     36,344K: zygote (pid 840)
     35,814K: com.google.android.gms (pid 14047)
     35,199K: com.transsion.kolun.aiservice (pid 3784)
     34,747K: com.transsion.kolun.assistant (pid 4578)
     34,644K: android.hardware.neuralnetworks-shim-service-mtk (pid 1084)
     32,062K: com.google.android.permissioncontroller (pid 2621)
     31,580K: com.transsion.camera (pid 3368)
     30,819K: com.hoffnung.mobile.service (pid 3270)
     26,963K: com.android.chrome:sandboxed_process0:org.chromium.content.app.SandboxedProcessService0:2 (pid 13558)
     26,577K: com.transsion.magicshow (pid 7966)
     25,569K: com.google.android.gms.unstable (pid 13471)
     24,369K: com.rlk.weathers (pid 4421)
     24,254K: com.transsion.iotservice (pid 8017)
     22,904K: tech.palm.id (pid 9612)
     21,561K: com.android.vending:background (pid 4457)
     21,432K: com.google.android.providers.media.module (pid 3188)
     20,882K: com.google.android.as (pid 3212)
     19,513K: com.transsion.mol (pid 4744)
     18,613K: com.transsion.magazineservice.hios (pid 3852)
     17,451K: com.transsion.deskclock (pid 3048)
     17,425K: com.transsion.sk (pid 3464)
     17,258K: zygote64 (pid 839)
     17,014K: mtkfusionrild (pid 1723)
     16,596K: com.transsion.filemanagerx (pid 7939)
     16,522K: audioserver (pid 887)
     15,272K: com.android.nfc (pid 3348)
     15,147K: com.google.android.setupwizard (pid 3634)
     14,752K: com.facebook.appmanager (pid 6203)
     14,228K: com.transsion.plat.appupdate.ui (pid 7985)
     14,209K: com.transsion.plat.appupdate (pid 7423)
     14,088K: com.transsion.notebook (pid 5342)
     13,911K: com.transsion.applock (pid 2514)
     13,557K: media.swcodec (pid 1226)
     13,370K: webview_zygote (pid 2184)
     13,235K: com.mediatek.ims (pid 2921)
     13,017K: com.transsion.calculator (pid 4638)
